X,Y,id,left,top,right,bottom,row_index,col_index
275215.0,1626635.4414,846,275215,1626635.4414,275415,1626835.4414,65,3
275215.0,1626435.4414,847,275215,1626435.4414,275415,1626635.4414,66,3
275415.0,1625835.4414,1110,275415,1625835.4414,275615,1626035.4414,69,4
275615.0,1627435.4414,1362,275615,1627435.4414,275815,1627635.4414,61,5
275615.0,1627235.4414,1363,275615,1627235.4414,275815,1627435.4414,62,5
275615.0,1627035.4414,1364,275615,1627035.4414,275815,1627235.4414,63,5
275615.0,1626835.4414,1365,275615,1626835.4414,275815,1627035.4414,64,5
275615.0,1626635.4414,1366,275615,1626635.4414,275815,1626835.4414,65,5
275615.0,1626435.4414,1367,275615,1626435.4414,275815,1626635.4414,66,5
275615.0,1626035.4414,1369,275615,1626035.4414,275815,1626235.4414,68,5
275615.0,1625835.4414,1370,275615,1625835.4414,275815,1626035.4414,69,5
275615.0,1625635.4414,1371,275615,1625635.4414,275815,1625835.4414,70,5
275815.0,1627235.4414,1623,275815,1627235.4414,276015,1627435.4414,62,6
275815.0,1627035.4414,1624,275815,1627035.4414,276015,1627235.4414,63,6
275815.0,1626435.4414,1627,275815,1626435.4414,276015,1626635.4414,66,6
275815.0,1625635.4414,1631,275815,1625635.4414,276015,1625835.4414,70,6
275815.0,1625435.4414,1632,275815,1625435.4414,276015,1625635.4414,71,6
276015.0,1627235.4414,1883,276015,1627235.4414,276215,1627435.4414,62,7
276015.0,1627035.4414,1884,276015,1627035.4414,276215,1627235.4414,63,7
276015.0,1626435.4414,1887,276015,1626435.4414,276215,1626635.4414,66,7
276015.0,1626035.4414,1889,276015,1626035.4414,276215,1626235.4414,68,7
276015.0,1625635.4414,1891,276015,1625635.4414,276215,1625835.4414,70,7
276015.0,1625435.4414,1892,276015,1625435.4414,276215,1625635.4414,71,7
276215.0,1626435.4414,2147,276215,1626435.4414,276415,1626635.4414,66,8
276215.0,1626035.4414,2149,276215,1626035.4414,276415,1626235.4414,68,8
276215.0,1625435.4414,2152,276215,1625435.4414,276415,1625635.4414,71,8
276215.0,1625235.4414,2153,276215,1625235.4414,276415,1625435.4414,72,8
276215.0,1625035.4414,2154,276215,1625035.4414,276415,1625235.4414,73,8
276415.0,1625835.4414,2410,276415,1625835.4414,276615,1626035.4414,69,9
276415.0,1625635.4414,2411,276415,1625635.4414,276615,1625835.4414,70,9
276415.0,1625235.4414,2413,276415,1625235.4414,276615,1625435.4414,72,9
276415.0,1625035.4414,2414,276415,1625035.4414,276615,1625235.4414,73,9
276415.0,1624835.4414,2415,276415,1624835.4414,276615,1625035.4414,74,9
276615.0,1625235.4414,2673,276615,1625235.4414,276815,1625435.4414,72,10
276615.0,1625035.4414,2674,276615,1625035.4414,276815,1625235.4414,73,10
276615.0,1624835.4414,2675,276615,1624835.4414,276815,1625035.4414,74,10
276615.0,1624635.4414,2676,276615,1624635.4414,276815,1624835.4414,75,10
276815.0,1630035.4414,2909,276815,1630035.4414,277015,1630235.4414,48,11
276815.0,1626435.4414,2927,276815,1626435.4414,277015,1626635.4414,66,11
276815.0,1625035.4414,2934,276815,1625035.4414,277015,1625235.4414,73,11
276815.0,1624835.4414,2935,276815,1624835.4414,277015,1625035.4414,74,11
276815.0,1624435.4414,2937,276815,1624435.4414,277015,1624635.4414,76,11
276815.0,1624235.4414,2938,276815,1624235.4414,277015,1624435.4414,77,11
276815.0,1624035.4414,2939,276815,1624035.4414,277015,1624235.4414,78,11
277015.0,1626235.4414,3188,277015,1626235.4414,277215,1626435.4414,67,12
277015.0,1626035.4414,3189,277015,1626035.4414,277215,1626235.4414,68,12
277015.0,1625035.4414,3194,277015,1625035.4414,277215,1625235.4414,73,12
