X,Y,id,left,top,right,bottom,row_index,col_index
294914.306578558,1610930.33248061,1912,294914.306578558,1610930.33248061,294964.306578558,1610980.33248061,575,2
294964.306578558,1610630.33248061,2586,294964.306578558,1610630.33248061,295014.306578558,1610680.33248061,581,3
295014.306578558,1611530.33248061,3236,295014.306578558,1611530.33248061,295064.306578558,1611580.33248061,563,4
295014.306578558,1610930.33248061,3248,295014.306578558,1610930.33248061,295064.306578558,1610980.33248061,575,4
295064.306578558,1610930.33248061,3916,295064.306578558,1610930.33248061,295114.306578558,1610980.33248061,575,5
295114.306578558,1611480.33248061,4573,295114.306578558,1611480.33248061,295164.306578558,1611530.33248061,564,6
295114.306578558,1611130.33248061,4580,295114.306578558,1611130.33248061,295164.306578558,1611180.33248061,571,6
295114.306578558,1611030.33248061,4582,295114.306578558,1611030.33248061,295164.306578558,1611080.33248061,573,6
295114.306578558,1610980.33248061,4583,295114.306578558,1610980.33248061,295164.306578558,1611030.33248061,574,6
295114.306578558,1610730.33248061,4588,295114.306578558,1610730.33248061,295164.306578558,1610780.33248061,579,6
295114.306578558,1610680.33248061,4589,295114.306578558,1610680.33248061,295164.306578558,1610730.33248061,580,6
295114.306578558,1610280.33248061,4597,295114.306578558,1610280.33248061,295164.306578558,1610330.33248061,588,6
295114.306578558,1610230.33248061,4598,295114.306578558,1610230.33248061,295164.306578558,1610280.33248061,589,6
295114.306578558,1610080.33248061,4601,295114.306578558,1610080.33248061,295164.306578558,1610130.33248061,592,6
295164.306578558,1611080.33248061,5249,295164.306578558,1611080.33248061,295214.306578558,1611130.33248061,572,7
295164.306578558,1611030.33248061,5250,295164.306578558,1611030.33248061,295214.306578558,1611080.33248061,573,7
295164.306578558,1610830.33248061,5254,295164.306578558,1610830.33248061,295214.306578558,1610880.33248061,577,7
295164.306578558,1610780.33248061,5255,295164.306578558,1610780.33248061,295214.306578558,1610830.33248061,578,7
295164.306578558,1610730.33248061,5256,295164.306578558,1610730.33248061,295214.306578558,1610780.33248061,579,7
295164.306578558,1610680.33248061,5257,295164.306578558,1610680.33248061,295214.306578558,1610730.33248061,580,7
295164.306578558,1610580.33248061,5259,295164.306578558,1610580.33248061,295214.306578558,1610630.33248061,582,7
295164.306578558,1610480.33248061,5261,295164.306578558,1610480.33248061,295214.306578558,1610530.33248061,584,7
295164.306578558,1610430.33248061,5262,295164.306578558,1610430.33248061,295214.306578558,1610480.33248061,585,7
295164.306578558,1610380.33248061,5263,295164.306578558,1610380.33248061,295214.306578558,1610430.33248061,586,7
295164.306578558,1610230.33248061,5266,295164.306578558,1610230.33248061,295214.306578558,1610280.33248061,589,7
295164.306578558,1610080.33248061,5269,295164.306578558,1610080.33248061,295214.306578558,1610130.33248061,592,7
295164.306578558,1609980.33248061,5271,295164.306578558,1609980.33248061,295214.306578558,1610030.33248061,594,7
295164.306578558,1609930.33248061,5272,295164.306578558,1609930.33248061,295214.306578558,1609980.33248061,595,7
295164.306578558,1609880.33248061,5273,295164.306578558,1609880.33248061,295214.306578558,1609930.33248061,596,7
295214.306578558,1610880.33248061,5921,295214.306578558,1610880.33248061,295264.306578558,1610930.33248061,576,8
295214.306578558,1610730.33248061,5924,295214.306578558,1610730.33248061,295264.306578558,1610780.33248061,579,8
295214.306578558,1610580.33248061,5927,295214.306578558,1610580.33248061,295264.306578558,1610630.33248061,582,8
