X,Y,id,left,top,right,bottom,row_index,col_index
295114.306578558,1611480.33248061,1285,295114.306578558,1611480.33248061,295214.306578558,1611580.33248061,282,3
295114.306578558,1610980.33248061,1290,295114.306578558,1610980.33248061,295214.306578558,1611080.33248061,287,3
295114.306578558,1610680.33248061,1293,295114.306578558,1610680.33248061,295214.306578558,1610780.33248061,290,3
295114.306578558,1610280.33248061,1297,295114.306578558,1610280.33248061,295214.306578558,1610380.33248061,294,3
295114.306578558,1610080.33248061,1299,295114.306578558,1610080.33248061,295214.306578558,1610180.33248061,296,3
295214.306578558,1610880.33248061,1625,295214.306578558,1610880.33248061,295314.306578558,1610980.33248061,288,4
295214.306578558,1610580.33248061,1628,295214.306578558,1610580.33248061,295314.306578558,1610680.33248061,291,4
295214.306578558,1610480.33248061,1629,295214.306578558,1610480.33248061,295314.306578558,1610580.33248061,292,4
295214.306578558,1610180.33248061,1632,295214.306578558,1610180.33248061,295314.306578558,1610280.33248061,295,4
295214.306578558,1610080.33248061,1633,295214.306578558,1610080.33248061,295314.306578558,1610180.33248061,296,4
295314.306578558,1611780.33248061,1950,295314.306578558,1611780.33248061,295414.306578558,1611880.33248061,279,5
295314.306578558,1610680.33248061,1961,295314.306578558,1610680.33248061,295414.306578558,1610780.33248061,290,5
295414.306578558,1611580.33248061,2286,295414.306578558,1611580.33248061,295514.306578558,1611680.33248061,281,6
295414.306578558,1610780.33248061,2294,295414.306578558,1610780.33248061,295514.306578558,1610880.33248061,289,6
295414.306578558,1610680.33248061,2295,295414.306578558,1610680.33248061,295514.306578558,1610780.33248061,290,6
295414.306578558,1610580.33248061,2296,295414.306578558,1610580.33248061,295514.306578558,1610680.33248061,291,6
295414.306578558,1610080.33248061,2301,295414.306578558,1610080.33248061,295514.306578558,1610180.33248061,296,6
295514.306578558,1611580.33248061,2620,295514.306578558,1611580.33248061,295614.306578558,1611680.33248061,281,7
295514.306578558,1610580.33248061,2630,295514.306578558,1610580.33248061,295614.306578558,1610680.33248061,291,7
295514.306578558,1610480.33248061,2631,295514.306578558,1610480.33248061,295614.306578558,1610580.33248061,292,7
295514.306578558,1610280.33248061,2633,295514.306578558,1610280.33248061,295614.306578558,1610380.33248061,294,7
295514.306578558,1609980.33248061,2636,295514.306578558,1609980.33248061,295614.306578558,1610080.33248061,297,7
295614.306578558,1616880.33248061,2901,295614.306578558,1616880.33248061,295714.306578558,1616980.33248061,228,8
295614.306578558,1616780.33248061,2902,295614.306578558,1616780.33248061,295714.306578558,1616880.33248061,229,8
